id,slug,name,avatar,usernameId,type,about,servesAlcohol,servesFood,ageRestriction,minimumAge,requiresReservation,reservationLink,active,accountManagerId,canText,canCall,canEmail,phone,email,phoneBooking,emailBooking,website,socialYouTube,socialFacebook,socialInstagram,socialTwitter,businessYelp,businessTripadvisor,businessGoogle,businessOpentable,addressLong,addressShort,streetNumber,unit,streetId,neighborhoodId,zipcodeId,cityId,stateId
clrpboubg00j2t7of4of5tl8d,moonlight-lounge,Moonlight Lounge,,,VENUE,,true,false,true,18,false,,false,,false,true,false,(505) 764-0249,,,,https://moonlightloungelive.com/,,,,,,,,,"120 Central Ave SW, Albuquerque, NM 87102, USA","120 Central Ave SW, Albuquerque",120,,clrpboubh00j3t7ofcuwhf225,clrpboubh00j4t7ofwa0nhwvz,clrpboihu003wt7ofnzxyhuto,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpboum600j7t7ofe3fjvukh,revel,Revel,,,COMPLEX,,false,true,,,false,,false,,false,true,false,(505) 321-0406,,,,http://www.revelabq.com/,,,,,,,,,"4720 Alexander Blvd NE, Albuquerque, NM 87107, USA","4720 Alexander Blvd NE, Albuquerque",4720,,clrpboum600j8t7ofwnng1kp9,clrpboum600j9t7ofntog8u7r,clrpboihu0041t7ofg5a65mza,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbourg00jat7offx4h73zp,marble-brewery-westside-taproom,Marble Brewery Westside Taproom,,,BREWERY,,false,false,true,21,false,,false,,false,true,false,(505) 508-4368,,,,https://marblebrewery.com/taprooms/westside,,,,,,,,,"5740 Night Whisper Rd NW, Albuquerque, NM 87114, USA","5740 Night Whisper Rd NW, Albuquerque",5740,,clrpbourh00jbt7ofm57c07fb,clrpbourh00jct7ofshtj31n4,clrpboihu0048t7ofimlbq68m,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbouv900jdt7ofd3urymgq,canteen-brewhouse,Canteen Brewhouse,,,BAR,,true,false,true,21,false,,false,,false,true,false,(505) 881-2737,,,,http://www.canteenbrewhouse.com/,,,,,,,,,"2381 Aztec Rd NE, Albuquerque, NM 87107, USA","2381 Aztec Rd NE, Albuquerque",2381,,clrpbouv900jet7ofpjwqqktm,clrpbouv900jft7offt1o6xgy,clrpboihu0041t7ofg5a65mza,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbovm900jjt7ofbxitxb28,scottish-rite-masonic-center,Scottish Rite Masonic Center,,,LOCATION,,false,false,,,false,,false,,false,true,false,(505) 982-4414,,,,http://nmscottishrite.org/,,,,,,,,,"463 Paseo De Peralta, Santa Fe, NM 87501, USA","463 Paseo De Peralta, Santa Fe",463,,clrpbovm900jkt7ofqt3r4j16,,clrpboihv0069t7ofqsidv3pe,clrpbom7200gqt7of52mhjzbp,clrpbogi4001pt7ofp2tz3lwe
clrpbovn700jlt7ofo00fynei,popejoy-hall,Popejoy Hall,,,THEATER,,false,false,,,false,,false,,false,true,false,(505) 277-8010,,,,http://popejoypresents.com/,,,,,,,,,"203 Cornell Dr, Albuquerque, NM 87131, USA","203 Cornell Dr, Albuquerque",203,,clrpbourh00jbt7ofm57c07fb,clrpbovn800jnt7ofqxl9kt8b,clrpboihv004jt7ofbnkh30c5,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbovsm00jot7ofqan7h7vn,tractor-brewing-company-nob-hill,Tractor Brewing Company Nob Hill,,,BREWERY,,true,true,true,21,false,,false,,false,true,false,(505) 433-5654,,,,http://www.getplowed.com/,,,,,,,,,"118 Tulane Dr SE, Albuquerque, NM 87106, USA","118 Tulane Dr SE, Albuquerque",118,,clrpbovsm00jpt7ofgxjo9w42,clrpbosrl00ift7of9d82mcqs,clrpboihu0040t7of5wrp9ek3,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbovvi00jrt7of5zcz9kpx,sister,Sister,,,BAR,,true,true,true,21,false,,false,,false,true,false,(505) 242-4900,,,,http://www.sisterthebar.com/,,,,,,,,,"407 Central Ave NW, Albuquerque, NM 87102, USA","407 Central Ave NW, Albuquerque",407,,clrpbot9300ikt7ofa42emv98,clrpbovvj00jtt7ofsrp4fu05,clrpboihu003wt7ofnzxyhuto,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbow9100jut7oflqjp6br1,isleta-resort-and-casino,Isleta Resort & Casino,,,CASINO,,true,true,,,false,,false,,false,true,false,(505) 724-3800,,,,http://www.isleta.com/,,,,,,,,,"11000 Broadway Blvd SE, Albuquerque, NM 87105, USA","11000 Broadway Blvd SE, Albuquerque",11000,,clrpbow9200jvt7ofqdxkzbku,,clrpboihu003zt7ofgfg6no4e,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbowgo00jyt7of07nnzjn0,the-dirty-bourbon,The Dirty Bourbon,,,BAR,,true,true,true,21,false,,false,,false,true,false,(505) 296-2726,,,,http://thedirtybourbon.com/,,,,,,,,,"9800 Montgomery Blvd NE, Albuquerque, NM 87111, USA","9800 Montgomery Blvd NE, Albuquerque",9800,,clrpbotr800j0t7ofjktb04ka,clrpbotr800j1t7of9o728is5,clrpboihu0045t7offd5h9nk4,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbowta00k6t7oflukj0jzk,launchpad,Launchpad,,,VENUE,,true,false,true,18,false,,false,,false,true,false,(505) 764-8887,,,,http://www.launchpadrocks.com/,,,,,,,,,"618 Central Ave SW, Albuquerque, NM 87102, USA","618 Central Ave SW, Albuquerque",618,,clrpboubh00j3t7ofcuwhf225,clrpboubh00j4t7ofwa0nhwvz,clrpboihu003wt7ofnzxyhuto,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbowqq00k4t7ofqyd9yyi3,lensic-performing-arts-center,Lensic Performing Arts Center,,,THEATER,,false,false,,,false,,false,,false,true,false,(505) 988-1234,,,,https://lensic.org/,,,,,,,,,"211 W San Francisco St, Santa Fe, NM 87501, USA","211 W San Francisco St, Santa Fe",211,,clrpbowqq00k5t7ofvi2ow2hw,,clrpboihv0069t7ofqsidv3pe,clrpbom7200gqt7of52mhjzbp,clrpbogi4001pt7ofp2tz3lwe
clrpbowlb00k1t7ofnrnquwsd,skidmores-holiday-bowl,Skidmore's Holiday Bowl,,,BAR,,true,true,true,21,false,,false,,false,true,false,(505) 268-3308,,,,http://holidaybowlabq.com/,,,,,,,,,"7515 Lomas Blvd NE, Albuquerque, NM 87110, USA","7515 Lomas Blvd NE, Albuquerque",7515,,clrpbowlc00k2t7ofedkbm81r,clrpbowlc00k3t7ofkykh19no,clrpboihu0044t7ofiww7ettt,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbox3f00k9t7ofk48o4doe,outpost-performance-space,Outpost Performance Space,,,VENUE,,true,false,,,false,,false,,false,true,false,(505) 268-0044,,,,http://www.outpostspace.org/,,,,,,,,,"210 Yale Blvd SE, Albuquerque, NM 87106, USA","210 Yale Blvd SE, Albuquerque",210,,clrpbox3g00kat7of5r2vxbjg,clrpbox3g00kbt7of55et65fp,clrpboihu0040t7of5wrp9ek3,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbv3il0012jus54cljpsze,tractor-brewing-company-westside,Tractor Brewing Company Westside,,,BREWERY,,true,true,true,21,false,,false,,false,true,false,(505) 361-1834,,,,http://www.getplowed.com/,,,,,,,,,"5720 McMahon Blvd NW bldg 5 ste a, Albuquerque, NM 87114, USA","5720 McMahon Blvd NW bldg 5 ste a, Albuquerque",5720,,clrpbv3il0013jus53tbe12pe,clrpbourh00jct7ofshtj31n4,clrpboihu0048t7ofimlbq68m,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbotlv00iqt7ofm89efey1,cafe-6855,Cafe 6855,https://powoppetcaklcixcjhlg.supabase.co/storage/v1/object/public/images/venues/cafe-6855-avatar.png,,RESTAURANT,,true,true,false,,false,,false,,false,true,false,(505) 890-9150,,,,https://www.cafe6855.com,,,,,,,,,"6855 4th St NW, Los Ranchos de Albuquerque, NM 87107, USA","6855 4th St NW, Los Ranchos de Albuquerque",6855,,clrpbotlv00irt7ofeh7yzyiw,,clrpboihu0041t7ofg5a65mza,clrpbom7100fyt7of97b3rel0,clrpbogi4001pt7ofp2tz3lwe
